FORMULARIO,,,DIGNIDAD,LISTA,PARTIDO,,,PROVINCIA,CIRCUNSCRIPCIÓN,NOMBRE,NOMBRE DE PAPELETA,ORDEN,RESOLUCIÓN,FECHA DE CALIFICACIÓN
131,,,ASAMBLEISTAS NACIONALES,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,ECUADOR                                           ,,TAPIA GARCIA JORGE VICTOR,JORGE VICTOR TAPIA,12,PLE-CNE-21-10-10-2020,10/10/20 0:00
131,,,ASAMBLEISTAS NACIONALES,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,ECUADOR                                           ,,PANTOJA CHULDE GEOVANNA ELIZABETH,GEOVANNA ELIZABETH PANTOJA,15,PLE-CNE-21-10-10-2020,10/10/20 0:00
131,,,ASAMBLEISTAS NACIONALES,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,ECUADOR                                           ,,SANCHEZ AVELLAN ANDREA MARIETA,ANDREA SANCHEZ,3,PLE-CNE-21-10-10-2020,10/10/20 0:00
133,,,ASAMBLEISTAS POR EL EXTERIOR,19,UNION ECUATORIANA,,,EUROPA ASIA Y OCEANIA                             ,,MONTENEGRO COLLAGUAZO AGAPITO ENRIQUE,AGAPITO MONTENEGRO COLLAGUAZO,1,PLE-JEE-7-19-11-2020-P-IC ,9/29/20 0:00
133,,,ASAMBLEISTAS POR EL EXTERIOR,19,UNION ECUATORIANA,,,EUROPA ASIA Y OCEANIA                             ,,AZOGUE QUINZO MARIA NARCIZA,MARIA AZOGUE QUINZO,2,PLE-JEE-7-19-11-2020-P-IC ,9/29/20 0:00
141,,,ASAMBLEISTAS PROVINCIALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,LOS RIOS                                          ,,TROYA FUERTES MARCO STALIN,MARCO TROYA,1,CNE-JPELR-07-13-10-2020,10/14/20 20:20
141,,,ASAMBLEISTAS PROVINCIALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,LOS RIOS                                          ,,BARQUET MAYORGA JUAN JOSE,JUAN BARQUET,3,CNE-JPELR-07-13-10-2020,10/14/20 20:20
141,,,ASAMBLEISTAS PROVINCIALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,LOS RIOS                                          ,,JIMENEZ ROMERO CONNIE MAILY,CONNIE JIMENEZ,2,CNE-JPELR-07-13-10-2020,10/14/20 20:20
141,,,ASAMBLEISTAS PROVINCIALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,LOS RIOS                                          ,,MANZO CASTRO JEREMY YAJAIRA,JEREMY YAJAIRA MANZO,4,CNE-JPELR-07-13-10-2020,10/14/20 20:20
141,,,ASAMBLEISTAS PROVINCIALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,LOS RIOS                                          ,,ALVAREZ SERRANO YASIRA SIMUY,YASIRA ALVAREZ SERRANO,6,CNE-JPELR-07-13-10-2020,10/14/20 20:20
141,,,ASAMBLEISTAS PROVINCIALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,LOS RIOS                                          ,,ALVARADO ESPAÑA JOSE RODOLFO,JOSE RODOLFO ALVARADO ESPAÑA,5,CNE-JPELR-07-13-10-2020,10/14/20 20:20
144,,,ASAMBLEISTAS PROVINCIALES,62,MOVIMIENTO SOMOS  LIBRES,,,IMBABURA                                          ,,PIJAL ALVEAR ANDRES SANTIAGO,ANDRES SANTIAGO PIJAL ALVEAR,3,N°0008-PLE-JPEIMBABURA-10-10-2020,10/10/20 0:00
144,,,ASAMBLEISTAS PROVINCIALES,62,MOVIMIENTO SOMOS  LIBRES,,,IMBABURA                                          ,,CHUQUIZAN CASTRO MARIUXI PAOLA,MARIUXI PAOLA CHUQUIZAN CASTRO,4,N°0008-PLE-JPEIMBABURA-10-10-2020,10/10/20 0:00
144,,,ASAMBLEISTAS PROVINCIALES,62,MOVIMIENTO SOMOS  LIBRES,,,IMBABURA                                          ,,GARZON TITO LOURDES MAGDALENA,LOURDES MAGDALENA GARZON TITO,2,N°0008-PLE-JPEIMBABURA-10-10-2020,10/10/20 0:00
144,,,ASAMBLEISTAS PROVINCIALES,62,MOVIMIENTO SOMOS  LIBRES,,,IMBABURA                                          ,,GARRIDO TERAN ROMULO SANTIAGO,SANTIAGO GARRIDO TERAN,1,N°0008-PLE-JPEIMBABURA-10-10-2020,10/10/20 0:00
145,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,6,PARTIDO SOCIAL CRISTIANO,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 3 QUITO RURAL,LARA RIVERA MERCY NARDELIA,MERCY LARA,1,CNE-JPEP-SP-11-21-10-2020,10/21/20 0:00
145,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,6,PARTIDO SOCIAL CRISTIANO,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 3 QUITO RURAL,GUACHO YAUTIBUG ALFONSO,ALFONSO GUACHO,2,CNE-JPEP-SP-11-21-10-2020,10/21/20 0:00
145,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,6,PARTIDO SOCIAL CRISTIANO,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 3 QUITO RURAL,BENALCAZAR TUGA MELANY MISHELL,MELANY BENALCAZAR,3,CNE-JPEP-SP-11-21-10-2020,10/21/20 0:00
145,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,6,PARTIDO SOCIAL CRISTIANO,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 3 QUITO RURAL,ARMIJOS DEL HIERRO CARLOS ALCIDES,CARLOS ARMIJOS DEL HIERRO,4,CNE-JPEP-SP-11-21-10-2020,10/21/20 0:00
148,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 1,JIMENEZ TORRES BELLA DANIELA,BELLA DANIELA JIMENEZ,1,JPEG-0049-27-10-2020,10/27/20 17:00
148,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 1,GAVILANES CARDENAS LUIS ANTONIO,LUIS ANTONIO GAVILANES,2,JPEG-0049-27-10-2020,10/27/20 17:00
148,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 1,CHINGA NAVARRETE MIGUEL EFRAIN,MIGUEL CHINGA NAVARRETE,4,JPEG-0049-27-10-2020,10/27/20 17:00
148,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 1,BORBOR COELLO ANA MERCEDES,ANA BORBOR COELLO,3,JPEG-0049-27-10-2020,10/27/20 17:00
148,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 1,SOLORZANO MOTA CATALINA ARGENTINA,CATALINA SOLORZANO MOTA,5,JPEG-0049-27-10-2020,10/27/20 17:00
149,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,6,PARTIDO SOCIAL CRISTIANO,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 2 CENTRO-SUR,RODRIGUEZ PEÑAHERRERA MARIA SOLEDAD,SOLEDAD RODRIGUEZ,1,CNE-JPEP-SP-10-21-10-2020,10/21/20 0:00
149,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,6,PARTIDO SOCIAL CRISTIANO,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 2 CENTRO-SUR,CHAMBA REVILLA MIRO FERNANDO,FERNANDO CHAMBA REVILLA,2,CNE-JPEP-SP-10-21-10-2020,10/21/20 0:00
149,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,6,PARTIDO SOCIAL CRISTIANO,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 2 CENTRO-SUR,ENDARA ZURITA ALEJANDRINA MARCELA,ALEJANDRINA MARCELA ENDARA,5,CNE-JPEP-SP-10-21-10-2020,10/21/20 0:00
149,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,6,PARTIDO SOCIAL CRISTIANO,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 2 CENTRO-SUR,MELO REYES JUDITH STEPHANIE,JUDITH MELO REYES,3,CNE-JPEP-SP-10-21-10-2020,10/21/20 0:00
149,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,6,PARTIDO SOCIAL CRISTIANO,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 2 CENTRO-SUR,ALMEIDA GALARRAGA JOSE ALEJANDRO,JOSE ALMEIDA GALARRAGA,4,CNE-JPEP-SP-10-21-10-2020,10/21/20 0:00
150,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 1 CENTRO-NORTE,COLOMA FALCONI EDGAR DANNY,DANNY COLOMA,3,CNE-JPEP-SP-06-22-10-2020,10/22/20 0:00
150,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 1 CENTRO-NORTE,IRIGOYEN BONILLA MARIANELLA,MARIANELLA IRIGOYEN,2,CNE-JPEP-SP-06-22-10-2020,10/22/20 0:00
150,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 1 CENTRO-NORTE,JARAMILLO GOMEZ CESAR ALEJANDRO,ALEJANDRO JARAMILLO,1,CNE-JPEP-SP-06-22-10-2020,10/22/20 0:00
150,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 1 CENTRO-NORTE,CORTEZ GARCIA MARITZA FERNANDA,FERNANDA CORTEZ,4,CNE-JPEP-SP-06-22-10-2020,10/22/20 0:00
151,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,6,PARTIDO SOCIAL CRISTIANO,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN RESTO DE PICHINCHA,MACIAS LOPEZ DEISY ELIZABETH,DEISY MACIAS,1,CNE-JPEP-SP-12-21-10-2020,10/21/20 0:00
151,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,6,PARTIDO SOCIAL CRISTIANO,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN RESTO DE PICHINCHA,PEREZ CARTAGENA VICTOR RUBEN,VICTOR PEREZ CARTAGENA,2,CNE-JPEP-SP-12-21-10-2020,10/21/20 0:00
151,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,6,PARTIDO SOCIAL CRISTIANO,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN RESTO DE PICHINCHA,TOAPANTA YANEZ JESSICA MISHEL,JESSICA TOAPANTA YANEZ,3,CNE-JPEP-SP-12-21-10-2020,10/21/20 0:00
152,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 2 CENTRO-SUR,VIVERO PIÑEIRO CARLOS JHONIS,JHONIS VIVERO,5,CNE-JPEP-SP-07-22-10-2020,10/22/20 0:00
152,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 2 CENTRO-SUR,GUANOLUISA FARINANGO AMPARO ROCIO,ROCIO GUANOLUISA,2,CNE-JPEP-SP-07-22-10-2020,10/22/20 0:00
152,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 2 CENTRO-SUR,ORTUÑO PARDO FRANCISCO XAVIER,XAVIER ORTUÑO,3,CNE-JPEP-SP-07-22-10-2020,10/22/20 0:00
152,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 2 CENTRO-SUR,RECALDE ALAVA ECKENNER READER,ECKENNER RECALDE,1,CNE-JPEP-SP-07-22-10-2020,10/22/20 0:00
152,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,PICHINCHA                                         ,CIRCUNSCRIPCIÓN 2 CENTRO-SUR,VILLALBA ANGULO ESTEFANIA CARINA,ESTEFANIA VILLALBA,4,CNE-JPEP-SP-07-22-10-2020,10/22/20 0:00
154,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 3,JARAMILLO HERRERIA JORGE XAVIER,XAVIER JARAMILLO HERRERIA,1,JPEG-0047-27-10-2020,10/27/20 17:00
154,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 3,HARO LOZANO EMMA GABRIELA,GABRIELA HARO LOZANO,2,JPEG-0047-27-10-2020,10/27/20 17:00
154,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 3,MEJIA GONZALEZ JOSE CHRISTIAN,JOSE MEJIA GONZALEZ,3,JPEG-0047-27-10-2020,10/27/20 17:00
154,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 3,MORALES FERNANDEZ ANGELINA CASTALIA,ANGELINA CASTALIA MORALES,4,JPEG-0047-27-10-2020,10/27/20 17:00
154,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 3,MORALES FERNANDEZ GABRIEL ENRIQUE,GABRIEL MORALES FERNANDEZ,5,JPEG-0047-27-10-2020,10/27/20 17:00
156,,,PRESIDENTE Y VICEPRESIDENTE,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,ALMEIDA ESPINOZA CARLOS GERSON ALTEMAR,GERSON ALMEIDA,1,PLE-CNE-12-6-10-2020,10/6/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,PALACIOS LAGOS MANUEL EDUARDO,EDUARDO PALACIOS,6,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,JUCA SALAZAR MERCEDES DEL ROCIO,MERCEDES JUCA,1,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,FLORES VALERO WILLIAN PAUL,WILLIAN FLORES,8,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,INTRIAGO ROSADO FRANCISCO PATRICIO,FRANCISCO INTRIAGO,4,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,NAVARRETE FLORES ANDREA FERNANDA,ANDREA NAVARRETE,7,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,MORENO SOLANO MARIA DEL CARMEN,MARIA DEL CARMEN MORENO,9,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,ALVEAR SALAS DORIS JACQUELINE,DORIS ALVEAR,11,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,PEREZ LASCANO HECTOR ERNESTO,HECTOR PEREZ,12,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,GORTAIRE CASTELO PAULINA ALEXANDRA,PAULINA GORTAIRE,13,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,RIVERA ANDRADE JUAN CARLOS,JUAN CARLOS RIVERA,14,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,MORILLO DAVILA DAYANA JESSENIA,DAYANA MORILLO,5,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,COLOMA MURGUEYTIO CARLOS HUMBERTO,CARLOS COLOMA,2,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,TENORIO LASTRA ANDERSON FABRICIO,ANDERSON TENORIO,10,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,AYABACA SALAZAR JACQUELINE ELIZABETH,JACQUELINE AYABACA,3,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
159,,,ASAMBLEISTAS NACIONALES,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,RODRIGUEZ FERNANDEZ GLADYS GISSELLA,GLADYS RODRIGUEZ,15,PLE-CNE-74-26-10-2020 ,10/26/20 0:00
160,,,PARLAMENTARIOS ANDINOS,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,ECUADOR                                           ,,GUERRERO SANCHEZ GABRIELLA NYCOLE,GABRIELLA GUERRERO,2,PLE-CNE-66-20-10-2020,10/20/20 0:00
160,,,PARLAMENTARIOS ANDINOS,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,ECUADOR                                           ,,LASCANO ESTRADA JUAN FRANCISCO,FRANCISCO LASCANO,3,PLE-CNE-66-20-10-2020,10/20/20 0:00
160,,,PARLAMENTARIOS ANDINOS,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,ECUADOR                                           ,,ALVAREZ VARELA BYRON ALBERTO,BYRON ALVAREZ,5,PLE-CNE-66-20-10-2020,10/20/20 0:00
160,,,PARLAMENTARIOS ANDINOS,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,ECUADOR                                           ,,PAEZ ANDRANGO RUBI ARACELY,RUBI PAEZ,4,PLE-CNE-66-20-10-2020,10/20/20 0:00
160,,,PARLAMENTARIOS ANDINOS,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,ECUADOR                                           ,,DESAMBLANC CAÑADAS PAUL,PAUL DESAMBLANC,1,PLE-CNE-66-20-10-2020,10/20/20 0:00
162,,,PARLAMENTARIOS ANDINOS,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,SANCHEZ FIGUEROA RUBEN DARIO,RUBEN SANCHEZ,4,PLE-CNE-62-19-10-2020,10/19/20 0:00
162,,,PARLAMENTARIOS ANDINOS,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,ALMEIDA REYES GERSON DARIO,GERSON ALMEIDA REYES,2,PLE-CNE-62-19-10-2020,10/19/20 0:00
162,,,PARLAMENTARIOS ANDINOS,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,ALMEIDA ESPINOZA JEANNETH MERCEDES,JEANNETH ALMEIDA,3,PLE-CNE-62-19-10-2020,10/19/20 0:00
162,,,PARLAMENTARIOS ANDINOS,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,POZO SANCHEZ JOSELYN MELISSA,MELISSA POZO,1,PLE-CNE-62-19-10-2020,10/19/20 0:00
162,,,PARLAMENTARIOS ANDINOS,4,MOVIMIENTO ECUATORIANO UNIDO,,,ECUADOR                                           ,,CAÑIZARES SALINAS VALERIA FERNANDA,VALERIA CAÑIZARES,5,PLE-CNE-62-19-10-2020,10/19/20 0:00
163,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,TUNGURAHUA                                        ,,VILLARROEL PERALTA SAMUEL JOSUE,SAMUEL VILLARROEL,3,JPET-PLE-048-21-10-2020,10/21/20 0:00
163,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,TUNGURAHUA                                        ,,ESPINOZA NARANJO SANTIAGO ALEJANDRO,SANTIAGO ESPINOZA NARANJO,1,JPET-PLE-048-21-10-2020,10/21/20 0:00
163,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,TUNGURAHUA                                        ,,SANTACRUZ AGUILAR DANIELA PATRICIA,DANIELA SANTACRUZ,4,JPET-PLE-048-21-10-2020,10/21/20 0:00
163,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,TUNGURAHUA                                        ,,VELASCO IBARRA LIGIA MARIBEL,LIGIA VELASCO IBARRA,2,JPET-PLE-048-21-10-2020,10/21/20 0:00
164,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,AZUAY                                             ,,COBOS MENDEZ SOFIA ALEXANDRA,SOFIA COBOS,2,JPEA-CNE-16-12-10-2020,10/12/20 0:00
164,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,AZUAY                                             ,,LEON ULLAGUARI JULIO CESAR,JULIO CESAR LEON,1,JPEA-CNE-16-12-10-2020,10/12/20 0:00
164,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,AZUAY                                             ,,CHILLOGALLI AYORA GALO MECIAS,GALO CHILLOGALLI,3,JPEA-CNE-16-12-10-2020,10/12/20 0:00
164,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,AZUAY                                             ,,ZARUMA CARRION MARIETA DEL ROCIO,MARIETA ZARUMA,4,JPEA-CNE-16-12-10-2020,10/12/20 0:00
164,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,AZUAY                                             ,,MENDEZ PESANTEZ JOSE ENRIQUE,JOSE ENRIQUE MENDEZ,5,JPEA-CNE-16-12-10-2020,10/12/20 0:00
165,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,BOLIVAR                                           ,,MORETA AREVALO EDDISON FABIAN,FABIAN MORETA,3,PLE-JPEB-10-08-10-2020,10/8/20 15:30
165,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,BOLIVAR                                           ,,BOSQUEZ VILLENA JAVIER VITERVO,JAVIER BOSQUEZ,1,PLE-JPEB-10-08-10-2020,10/8/20 15:30
165,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,BOLIVAR                                           ,,GONZALEZ RIVERA MARTHA MAGDALENA,MARTHA GONZALEZ,2,PLE-JPEB-10-08-10-2020,10/8/20 15:30
166,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,SUCUMBIOS                                         ,,RODRIGUEZ ZAMBRANO JENNY ARACELY,JENNY RODRIGUEZ,1,PLE-JPES-012-08-10-2020,10/8/20 18:52
166,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,SUCUMBIOS                                         ,,ANGULO QUILAMBAQUI JENNIFER ESTEFANIA,JENNIFER ANGULO,3,PLE-JPES-012-08-10-2020,10/8/20 18:52
166,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,SUCUMBIOS                                         ,,MENDOZA MENDOZA LUIS ALFREDO,LUIS MENDOZA,2,PLE-JPES-012-08-10-2020,10/8/20 18:52
167,,,ASAMBLEISTAS PROVINCIALES,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,STO DGO TSACHILAS                                 ,,ORTIZ OLAYA AMADA MARIA,AMADA MARIA ORTIZ,1,JPE-CNE-SDT-17-13-10-2020,10/13/20 18:00
167,,,ASAMBLEISTAS PROVINCIALES,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,STO DGO TSACHILAS                                 ,,UREÑA ENRIQUEZ SEGUNDO ANTONIO,ANTONIO UREÑA,2,JPE-CNE-SDT-17-13-10-2020,10/13/20 18:00
167,,,ASAMBLEISTAS PROVINCIALES,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,STO DGO TSACHILAS                                 ,,RODRIGUEZ PANTOJA LUCY DALIA,LUCY RODRIGUEZ,3,JPE-CNE-SDT-17-13-10-2020,10/13/20 18:00
167,,,ASAMBLEISTAS PROVINCIALES,12,PARTIDO IZQUIERDA DEMOCRÁTICA,,,STO DGO TSACHILAS                                 ,,ORTIZ LORENZO,LORENZO ORTIZ,4,JPE-CNE-SDT-17-13-10-2020,10/13/20 18:00
170,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,PASTAZA                                           ,,ROMERO MEDINA JAKELYN XIOMARA,JAKELYN ROMERO,2,RESOLUCIÓN Nº13-JPEPZ-13-10-2020,10/13/20 10:40
170,,,ASAMBLEISTAS PROVINCIALES,19,UNION ECUATORIANA,,,PASTAZA                                           ,,GONZALEZ MEDRANO HENRY VINICIO,HENRY GONZALEZ,1,RESOLUCIÓN Nº13-JPEPZ-13-10-2020,10/13/20 10:40
173,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,19,UNION ECUATORIANA,,,MANABI                                            ,CIRCUNSCRIPCIÓN 2 - SUR,MACIAS LAZ YULY MONSERRATE,YULY MACIAS,4,JPEM-0000049-28-10-2020,10/28/20 0:00
173,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,19,UNION ECUATORIANA,,,MANABI                                            ,CIRCUNSCRIPCIÓN 2 - SUR,BRAVO TUAREZ GEMA VANESSA,GEMA BRAVO,2,JPEM-0000049-28-10-2020,10/28/20 0:00
